word,frequency
电影,829
没有,421
自己,418
就是,400
故事,340
最后,328
不是,310
还是,258
喜欢,257
世界,254
一部,244
觉得,226
这部,206
时候,198
这样,192
因为,191
生活,191
看到,187
知道,179
其实,170
如果,165
那么,164
片子,158
一样,155
导演,151
孩子,149
只是,147
影片,141
人生,136
已经,135
还有,133
这么,132
但是,131
这种,130
可能,127
不会,126
感觉,125
爱情,124
真是,124
一直,123
一种,122
永远,118
所有,117
人类,116
经典,113
很多,112
现在,111
虽然,110
无法,109
如此,108
影志,108
非常,108
镜头,106
一次,104
一起,104
生命,103
完全,103
开始,102
每个,101
那些,101
好看,101
不过,100
这是,100
男人,99
两个,99
...,99
只有,98
结尾,98
动画,98
现实,97
剧情,96
中国,96
感动,96
所以,96
结局,95
不能,93
观众,93
完美,92
为了,90
不要,90
成为,88
真正,87
以为,87
而是,86
看过,85
有些,85
评分,85
一切,84
一定,84
选择,84
时间,81
同志,81
真实,80
女人,80
之后,80
表演,79
情节,78
细节,78
中文,77
美好,76
